pays,vaccin
ARE,Pfizer/BioNTech
ARE,Sinopharm
ARG,Sputnik V
AUT,Pfizer/BioNTech
BEL,Moderna
BEL,Pfizer/BioNTech
BGR,Moderna
BGR,Pfizer/BioNTech
BHR,Pfizer/BioNTech
BHR,Sinopharm
BMU,Pfizer/BioNTech
BRA,Oxford/AstraZeneca
BRA,Sinovac
CAN,Moderna
CAN,Pfizer/BioNTech
CHE,Moderna
CHE,Pfizer/BioNTech
CHL,Pfizer/BioNTech
CHN,CNBG
CHN,Sinovac
CRI,Pfizer/BioNTech
CYP,Pfizer/BioNTech
CZE,Moderna
CZE,Pfizer/BioNTech
DEU,Moderna
DEU,Pfizer/BioNTech
DNK,Moderna
DNK,Pfizer/BioNTech
DZA,Sputnik V
ECU,Pfizer/BioNTech
ESP,Moderna
ESP,Pfizer/BioNTech
EST,Pfizer/BioNTech
FIN,Pfizer/BioNTech
FRA,Pfizer/BioNTech
GBR,Oxford/AstraZeneca
GBR,Pfizer/BioNTech
GIB,Pfizer/BioNTech
GRC,Pfizer/BioNTech
HRV,Pfizer/BioNTech
HUN,Pfizer/BioNTech
IDN,Sinovac
IMN,Pfizer/BioNTech
IND,Covaxin
IND,Oxford/AstraZeneca
IRL,Pfizer/BioNTech
ISL,Moderna
ISL,Pfizer/BioNTech
ISR,Moderna
ISR,Pfizer/BioNTech
ITA,Pfizer/BioNTech
KWT,Pfizer/BioNTech
LKA,Oxford/AstraZeneca
LTU,Moderna
LTU,Pfizer/BioNTech
LUX,Pfizer/BioNTech
LVA,Pfizer/BioNTech
MAR,Oxford/AstraZeneca
MAR,Sinopharm
MEX,Pfizer/BioNTech
MLT,Pfizer/BioNTech
MMR,Oxford/AstraZeneca
NLD,Moderna
NLD,Pfizer/BioNTech
NOR,Pfizer/BioNTech
OMN,Pfizer/BioNTech
PAN,Pfizer/BioNTech
POL,Pfizer/BioNTech
PRT,Pfizer/BioNTech
ROU,Pfizer/BioNTech
RUS,Sputnik V
SAU,Pfizer/BioNTech
SGP,Pfizer/BioNTech
SRB,Pfizer/BioNTech
SRB,Sinopharm
SRB,Sputnik V
SVK,Pfizer/BioNTech
SVN,Pfizer/BioNTech
SWE,Pfizer/BioNTech
SYC,Oxford/AstraZeneca
SYC,Sinopharm
TUR,Sinovac
USA,Moderna
USA,Pfizer/BioNTech
